book_id,book_title,book_file
202,"Project Gutenbergâ€™s My Bondage and My Freedom, by Frederick Douglass",./data_in\202-0.txt
23,"Narrative of the Life of Frederick Douglass, by Frederick Douglass",./data_in\23-0.txt
408,"The Souls of Black Folk, by W. E. B. Du Bois",./data_in\408-0.txt
59116,"Why is the Negro Lynched?, by Frederick Douglass",./data_in\59116-0.txt
62799,"John Brown, by W. E. Burghardt Du Bois",./data_in\62799-0.txt
64504,"Working with the Hands, by Booker T.",./data_in\64504-0.txt
15210,"Darkwater, by W. E. B. Du Bois",./data_in\pg15210.txt
15359,"The Negro, by W.E.B. Du Bois",./data_in\pg15359.txt
2376,"Up From Slavery: An Autobiography, by",./data_in\pg2376.txt
26507,"The Future of the American Negro, by Booker T. Washington",./data_in\pg26507.txt
31839,"John Brown, by Frederick Douglass",./data_in\pg31839.txt
35399,"The Negro in the South, by",./data_in\pg35399.txt
45125,"The Story of Slavery, by Booker T. Washington",./data_in\pg45125.txt
